table_name,column_name,ordinal_position,data_type,udt_name,time_var,numeric,to_keep,data_table,completeness
nurseassessment,celllabel,6,character varying,varchar,0,0,0,1,1
nurseassessment,cellattribute,7,character varying,varchar,0,0,0,1,1
nurseassessment,cellattributevalue,8,character varying,varchar,0,0,1,1,1
nursecare,nursecareid,1,integer,int4,0,1,1,1,1
nursecare,patientunitstayid,2,integer,int4,0,1,1,1,1
nursecare,celllabel,3,character varying,varchar,0,0,0,1,1
nursecare,nursecareoffset,4,integer,int4,1,1,1,1,1
nursecare,nursecareentryoffset,5,integer,int4,0,1,0,1,1
nursecare,cellattributepath,6,character varying,varchar,0,0,1,1,1
nursecare,cellattribute,7,character varying,varchar,0,0,0,1,1
nursecare,cellattributevalue,8,character varying,varchar,0,0,1,1,1
nursecharting,nursingchartid,1,bigint,int8,0,1,1,1,1
nursecharting,patientunitstayid,2,integer,int4,0,1,1,1,1
nursecharting,nursingchartoffset,3,integer,int4,1,1,1,1,1
nursecharting,nursingchartentryoffset,4,integer,int4,0,1,0,1,1
nursecharting,nursingchartcelltypecat,5,character varying,varchar,0,0,1,1,1
nursecharting,nursingchartcelltypevallabel,6,character varying,varchar,0,0,1,1,1
nursecharting,nursingchartcelltypevalname,7,character varying,varchar,0,0,1,1,1
nursecharting,nursingchartvalue,8,character varying,varchar,0,0,1,1,1
pasthistory,pasthistoryid,1,integer,int4,0,1,1,1,1
pasthistory,patientunitstayid,2,integer,int4,0,1,1,1,1
pasthistory,pasthistoryoffset,3,integer,int4,1,1,1,1,1
pasthistory,pasthistoryenteredoffset,4,integer,int4,0,1,0,1,1
pasthistory,pasthistorynotetype,5,character varying,varchar,0,0,0,1,1
pasthistory,pasthistorypath,6,character varying,varchar,0,0,1,1,1
pasthistory,pasthistoryvalue,7,character varying,varchar,0,0,0,1,1
pasthistory,pasthistoryvaluetext,8,character varying,varchar,0,0,0,1,1
patient,patientunitstayid,1,integer,int4,0,1,1,0,1
patient,patienthealthsystemstayid,2,integer,int4,0,1,1,0,1
patient,gender,3,character varying,varchar,0,0,1,0,1
patient,age,4,character varying,varchar,0,0,1,0,1
patient,ethnicity,5,character varying,varchar,0,0,1,0,1
patient,hospitalid,6,integer,int4,0,1,1,0,1
patient,wardid,7,integer,int4,0,1,1,0,1
patient,apacheadmissiondx,8,character varying,varchar,0,0,1,0,1
patient,admissionheight,9,numeric,numeric,0,1,1,0,0.979015130016579
patient,hospitaladmittime24,10,character varying,varchar,0,0,1,0,1
patient,hospitaladmitoffset,11,integer,int4,0,1,1,0,1
patient,hospitaladmitsource,12,character varying,varchar,0,0,1,0,1
patient,hospitaldischargeyear,13,smallint,int2,0,1,1,0,1
patient,hospitaldischargetime24,14,character varying,varchar,0,0,1,0,1
patient,hospitaldischargeoffset,15,integer,int4,0,1,1,0,1
patient,hospitaldischargelocation,16,character varying,varchar,0,0,1,0,1
patient,hospitaldischargestatus,17,character varying,varchar,0,0,1,0,1
patient,unittype,18,character varying,varchar,0,0,1,0,1
patient,unitadmittime24,19,character varying,varchar,0,0,1,0,1
patient,unitadmitsource,20,character varying,varchar,0,0,1,0,1
patient,unitvisitnumber,21,integer,int4,0,1,1,0,1
patient,unitstaytype,22,character varying,varchar,0,0,1,0,1
patient,admissionweight,23,numeric,numeric,0,1,1,0,0.91676748365769
patient,dischargeweight,24,numeric,numeric,0,1,1,0,0.547259520360054
patient,unitdischargetime24,25,character varying,varchar,0,0,1,0,1
patient,unitdischargeoffset,26,integer,int4,0,1,1,0,1
patient,unitdischargelocation,27,character varying,varchar,0,0,1,0,1
patient,unitdischargestatus,28,character varying,varchar,0,0,1,0,1
patient,uniquepid,29,character varying,varchar,0,0,1,0,1
treatment,treatmentid,1,integer,int4,0,1,1,1,1
treatment,patientunitstayid,2,integer,int4,0,1,1,1,1
treatment,treatmentoffset,3,integer,int4,1,1,1,1,1
treatment,treatmentstring,4,character varying,varchar,0,0,1,1,1
treatment,activeupondischarge,5,character varying,varchar,0,0,1,1,1
vitalaperiodic,vitalaperiodicid,1,integer,int4,0,1,1,1,1
vitalaperiodic,patientunitstayid,2,integer,int4,0,1,1,1,1
vitalaperiodic,observationoffset,3,integer,int4,1,1,1,1,1
vitalaperiodic,noninvasivesystolic,4,double precision,float8,0,1,1,1,0.880533154159386
vitalaperiodic,noninvasivediastolic,5,double precision,float8,0,1,1,1,0.880638238595029
vitalaperiodic,noninvasivemean,6,double precision,float8,0,1,1,1,0.885695571626229
vitalaperiodic,paop,7,double precision,float8,0,1,0,1,0.001420773474088
vitalaperiodic,cardiacoutput,8,double precision,float8,0,1,0,1,0.051610814787625
vitalaperiodic,cardiacinput,9,double precision,float8,0,1,0,1,0.010388882601104
vitalaperiodic,svr,10,double precision,float8,0,1,0,1,0.067759919671623
vitalaperiodic,svri,11,double precision,float8,0,1,0,1,0.010306490022721
vitalaperiodic,pvr,12,double precision,float8,0,1,0,1,0.000761951888956
vitalaperiodic,pvri,13,double precision,float8,0,1,0,1,0.000757285900732
vitalperiodic,vitalperiodicid,1,bigint,int8,0,1,1,1,1
vitalperiodic,patientunitstayid,2,integer,int4,0,1,1,1,1
vitalperiodic,observationoffset,3,integer,int4,1,1,1,1,1
vitalperiodic,temperature,4,numeric,numeric,0,1,0,1,0.090019371297418
vitalperiodic,sao2,5,integer,int4,0,1,1,1,0.90616198324145
vitalperiodic,heartrate,6,integer,int4,0,1,1,1,0.995283014558465
vitalperiodic,respiration,7,integer,int4,0,1,1,1,0.876113679834579
vitalperiodic,cvp,8,integer,int4,0,1,0,1,0.130616646399854
vitalperiodic,etco2,9,integer,int4,0,1,0,1,0.03015806559253
vitalperiodic,systemicsystolic,10,integer,int4,0,1,0,1,0.1897773804155
vitalperiodic,systemicdiastolic,11,integer,int4,0,1,0,1,0.189769792036555
vitalperiodic,systemicmean,12,integer,int4,0,1,0,1,0.191317623620795
vitalperiodic,pasystolic,13,integer,int4,0,1,0,1,0.028097715030694
vitalperiodic,padiastolic,14,integer,int4,0,1,0,1,0.028094292419526
vitalperiodic,pamean,15,integer,int4,0,1,0,1,0.028295394688498
vitalperiodic,st1,16,double precision,float8,0,1,1,1,0.385929524127097
vitalperiodic,st2,17,double precision,float8,0,1,1,1,0.408731177905542
vitalperiodic,st3,18,double precision,float8,0,1,1,1,0.376359316956443
vitalperiodic,icp,19,integer,int4,0,1,0,1,0.017939575531581
pivoted_bg,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_bg,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_bg,fio2,3,numeric,numeric,0,0,0,1,0.227275459490769
pivoted_bg,pao2,4,numeric,numeric,0,0,0,1,0.283023636418281
pivoted_bg,paco2,5,numeric,numeric,0,0,0,1,0.28081258896785
pivoted_bg,ph,6,numeric,numeric,0,0,0,1,0.279762734185239
pivoted_bg,aniongap,7,numeric,numeric,0,1,1,1,0.696109048286489
pivoted_bg,basedeficit,8,numeric,numeric,0,0,0,1,0.04485140832179
pivoted_bg,baseexcess,9,numeric,numeric,0,0,0,1,0.222880686770327
pivoted_bg,peep,10,numeric,numeric,0,0,0,1,0.076553334262288
pivoted_infusion,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_infusion,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_infusion,dopamine,3,smallint,int2,0,1,0,1,0.084339574211919
pivoted_infusion,dobutamine,4,smallint,int2,0,1,0,1,0.059109534528573
pivoted_infusion,norepinephrine,5,smallint,int2,0,1,1,1,1
pivoted_infusion,phenylephrine,6,smallint,int2,0,1,1,1,1
pivoted_infusion,epinephrine,7,smallint,int2,0,1,1,1,1
pivoted_infusion,vasopressin,8,smallint,int2,0,1,1,1,1
pivoted_infusion,milrinone,9,smallint,int2,0,1,1,1,1
pivoted_infusion,heparin,10,smallint,int2,0,1,1,1,1
pivoted_lab,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_lab,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_lab,albumin,3,numeric,numeric,0,1,0,1,0.094042843623728
pivoted_lab,bilirubin,4,numeric,numeric,0,1,0,1,0.078994942383213
pivoted_lab,bun,5,numeric,numeric,0,1,0,1,0.237743742523517
pivoted_lab,calcium,6,numeric,numeric,0,1,0,1,0.229875711377314
pivoted_lab,chloride,7,numeric,numeric,0,1,0,1,0.240458939629816
pivoted_lab,creatinine,8,numeric,numeric,0,1,0,1,0.23899398644716
pivoted_lab,glucose,9,numeric,numeric,0,1,1,1,0.840547984696743
pivoted_lab,bicarbonate,10,numeric,numeric,0,1,0,1,0.224534136419978
pivoted_lab,totalco2,11,numeric,numeric,0,1,0,1,0.034281598061633
pivoted_lab,hematocrit,12,numeric,numeric,0,1,0,1,0.239895539523345
pivoted_lab,hemoglobin,13,numeric,numeric,0,1,0,1,0.243105076001621
pivoted_lab,inr,14,numeric,numeric,0,1,0,1,0.075414698420052
pivoted_lab,lactate,15,numeric,numeric,0,1,0,1,0.038382526091127
pivoted_lab,platelets,16,numeric,numeric,0,1,0,1,0.213814856638759
pivoted_lab,potassium,17,numeric,numeric,0,1,0,1,0.278793292565546
pivoted_lab,ptt,18,numeric,numeric,0,1,0,1,0.052775197147698
pivoted_lab,sodium,19,numeric,numeric,0,1,0,1,0.260322274646073
pivoted_lab,wbc,20,numeric,numeric,0,1,0,1,0.213048978738514
pivoted_lab,bands,21,numeric,numeric,0,1,0,1,0.014240624534852
pivoted_lab,alt,22,numeric,numeric,0,1,0,1,0.0807929677731
pivoted_lab,ast,23,numeric,numeric,0,1,0,1,0.081880439120893
pivoted_lab,alp,24,numeric,numeric,0,1,0,1,0.080595758918197
pivoted_med,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_med,drugorderoffset,2,integer,int4,0,1,1,1,0.993715752612792
pivoted_med,chartoffset,3,integer,int4,1,1,1,1,1
pivoted_med,drugstopoffset,4,integer,int4,0,1,1,1,0.984253676680475
pivoted_med,norepinephrine,5,smallint,int2,0,1,1,1,1
pivoted_med,epinephrine,6,smallint,int2,0,1,1,1,1
pivoted_med,dopamine,7,smallint,int2,0,1,1,1,1
pivoted_med,dobutamine,8,smallint,int2,0,1,1,1,1
pivoted_med,phenylephrine,9,smallint,int2,0,1,1,1,1
pivoted_med,vasopressin,10,smallint,int2,0,1,1,1,1
pivoted_med,milrinone,11,smallint,int2,0,1,1,1,1
pivoted_med,heparin,12,smallint,int2,0,1,1,1,1
pivoted_med,warfarin,13,smallint,int2,0,1,1,1,1
pivoted_o2,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_o2,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_o2,entryoffset,3,integer,int4,0,1,1,1,1
pivoted_o2,o2_flow,4,numeric,numeric,0,1,1,1,0.64225359769499
pivoted_o2,o2_device,5,text,text,0,0,0,1,0.419536279831939
pivoted_o2,etco2,6,numeric,numeric,0,1,0,1,0.061241712810875
pivoted_uo,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_uo,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_uo,outputtotal,3,numeric,numeric,0,1,1,1,1
pivoted_uo,urineoutput,4,numeric,numeric,0,1,1,1,1
pivoted_vital,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_vital,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_vital,entryoffset,3,integer,int4,0,1,1,1,1
pivoted_vital,heartrate,4,numeric,numeric,0,1,1,1,0.834559166043356
pivoted_vital,respiratoryrate,5,numeric,numeric,0,1,1,1,0.768450091015322
pivoted_vital,spo2,6,numeric,numeric,0,1,1,1,0.696869354321678
pivoted_vital,nibp_systolic,7,numeric,numeric,0,1,1,1,0.653927024991092
pivoted_vital,nibp_diastolic,8,numeric,numeric,0,1,1,1,0.653737607789558
pivoted_vital,nibp_mean,9,numeric,numeric,0,1,1,1,0.54784854381189
pivoted_vital,temperature,10,numeric,numeric,0,1,0,1,0.296695546808722
pivoted_vital,temperaturelocation,11,text,text,0,0,0,1,0.190770263029907
pivoted_vital,ibp_systolic,12,numeric,numeric,0,1,0,1,0.158289276999533
pivoted_vital,ibp_diastolic,13,numeric,numeric,0,1,0,1,0.158222493770384
pivoted_vital,ibp_mean,14,numeric,numeric,0,1,0,1,0.185277259250499
pivoted_vital_other,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_vital_other,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_vital_other,entryoffset,3,integer,int4,0,1,1,1,1
pivoted_vital_other,pasystolic,4,numeric,numeric,0,1,0,1,0.158993267523414
pivoted_vital_other,padiastolic,5,numeric,numeric,0,1,0,1,0.159190041369359
pivoted_vital_other,pamean,6,numeric,numeric,0,1,0,1,0.160216076423214
pivoted_vital_other,sv,7,numeric,numeric,0,1,0,1,0.07227222256059
pivoted_vital_other,co,8,numeric,numeric,0,1,0,1,0.042142398673182
pivoted_vital_other,svr,9,numeric,numeric,0,1,0,1,0.020586292359084
pivoted_vital_other,icp,10,numeric,numeric,0,1,1,1,0.786205216380954
pivoted_vital_other,ci,11,numeric,numeric,0,1,0,1,0.038267827944697
pivoted_vital_other,svri,12,numeric,numeric,0,1,0,1,0.001110366702117
pivoted_vital_other,cpp,13,numeric,numeric,0,1,0,1,0.411266708207812
pivoted_vital_other,svo2,14,numeric,numeric,0,1,0,1,0.035625436299153
pivoted_vital_other,paop,15,numeric,numeric,0,1,0,1,0.002815740033639
pivoted_vital_other,pvr,16,numeric,numeric,0,1,0,1,0.002253529045225
pivoted_vital_other,pvri,17,numeric,numeric,0,1,0,1,0.002183252671673
pivoted_vital_other,iap,18,numeric,numeric,0,1,0,1,0.002553374905713
pivoted_score,patientunitstayid,1,integer,int4,0,1,1,1,1
pivoted_score,chartoffset,2,integer,int4,1,1,1,1,1
pivoted_score,entryoffset,3,integer,int4,0,1,1,1,1
pivoted_score,gcs,4,numeric,numeric,0,1,1,1,0.599032905183094
pivoted_score,gcs_motor,5,numeric,numeric,0,1,1,1,0.539794713467204
pivoted_score,gcs_verbal,6,numeric,numeric,0,1,1,1,0.534968171585158
pivoted_score,gcs_eyes,7,numeric,numeric,0,1,1,1,0.530920657872475
pivoted_score,gcs_unable,8,integer,int4,0,1,0,1,0.013759795210868
pivoted_score,gcs_intub,9,integer,int4,0,1,0,1,0.000603011238112
pivoted_score,fall_risk,10,numeric,numeric,0,1,0,1,0.014787523919913
pivoted_score,delirium_scale,11,text,text,0,0,0,1,0.050395486400459
pivoted_score,delirium_score,12,numeric,numeric,0,1,0,1,0.045027582991545
pivoted_score,sedation_scale,13,text,text,0,0,0,1,0.257681081139777
pivoted_score,sedation_score,14,numeric,numeric,0,1,0,1,0.254064940264582
pivoted_score,sedation_goal,15,numeric,numeric,0,1,0,1,0.098023741443913
pivoted_score,pain_score,16,numeric,numeric,0,1,0,1,0.422178974015698
pivoted_score,pain_goal,17,numeric,numeric,0,1,0,1,0.154951995541605
